,BEARING,mean_iwp,std_iwp,freq_iwp,mean_ted,std_ted,freq_ted,mean_species,std_species,freq_species,in_out,island,species,population_status,hum_pop,distant_hum_pop,group
134,250,9592.75114,5650.785876,882988,0.157208209,0.223270388,250566,11.47558227,5.688493745,351657,0,HAW,CCA,1,185079,96224,9
135,260,7917.273544,4638.523519,856957,0.117412009,0.151444286,346225,11.01052212,5.519714103,203211,0,HAW,CCA,1,185079,96224,9
136,270,6558.405396,4027.033808,866595,0.10028,0.131407536,486091,9.616606197,5.666470965,187722,0,HAW,CCA,1,185079,96224,9
137,280,5357.441718,3512.712796,894407,0.071303863,0.102315793,712744,8.541547267,6.062747049,234954,0,HAW,CCA,1,185079,96224,9
138,290,6700.966563,6418.624183,921967,0.042766577,0.072159897,1046271,7.9443815,6.190669532,359307,0,HAW,CCA,1,185079,96224,9
139,300,20151.58589,17188.25291,1183332,0.027432313,0.053095429,1476040,7.073755373,5.961857226,925929,0,HAW,CCA,1,185079,96224,9
140,310,37418.82003,24953.62894,1511417,0.02242957,0.052575075,2045660,6.8328834,5.914452486,1584117,0,HAW,CCA,1,185079,96224,9
141,320,47709.2794,29153.76642,1601364,0.018997199,0.05130393,2332646,6.440455516,5.884896049,1765674,0,HAW,CCA,1,185079,96224,9
142,330,54825.50971,29799.78852,1655679,0.013520852,0.0423345,2401220,6.203913293,5.992189554,1844937,0,HAW,CCA,1,185079,96224,9
143,340,61713.62064,29316.44551,1598731,0.011397918,0.037385541,2373641,6.020741892,6.161740062,2012130,0,HAW,CCA,1,185079,96224,9
144,350,70354.12631,27350.75278,1515458,0.008466776,0.028599682,1753444,6.08855654,6.295561645,2220525,0,HAW,CCA,1,185079,96224,9
145,0,84984.13962,14486.13651,1095938,0.005007474,0.016197817,1311910,12.82960871,10.99685377,1665054,0,HAW,CORAL,1,185079,96224,9
146,10,88094.33769,11489.23283,934519,0.005506743,0.016396052,1028733,13.86480139,9.532144653,1332477,0,HAW,CORAL,1,185079,96224,9
